epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7912,1.05939,2.24362,3.73609,1.71366,0.00126,0.06349,0.0003,5e-05,0,0,0,0,2.27874,379.192,173.013,11.4182,0.075298,0.00236571,0.00236571
2,36.8263,1.05409,1.72121,2.05997,1.70419,0.00219,0.00794,0.00039,0.0001,0.00219,0.00794,0.00043,9e-05,2.21464,108.909,10.5869,9.58906,0.0494348,0.00432199,0.00432199
3,41.6988,1.01041,1.59205,1.79962,1.61957,0.01158,0.34921,0.00829,0.00263,0.01002,0.30159,0.00682,0.00211,2.03589,13.328,140.372,7.47398,0.0230898,0.00579661,0.00579661
4,46.5182,0.87919,1.4584,1.5202,1.46094,0.05372,0.09524,0.01943,0.00882,0.06267,0.11111,0.0207,0.0076,1.98098,3.30399,13.9287,3.57126,0.00614294,0.00614294,0.00614294
5,51.3595,0.84654,1.43357,1.37634,1.44439,0.62402,0.61905,0.66044,0.36087,0.6584,0.54762,0.60533,0.30732,1.02199,3.09048,2.33119,1.60376,0.00527725,0.00527725,0.00527725
6,56.1488,0.78947,1.33464,1.29302,1.37293,0.83133,0.8254,0.88945,0.54845,0.84969,0.83333,0.89719,0.53682,0.83259,1.58552,2.627,1.39025,0.00441156,0.00441156,0.00441156
7,60.9536,0.78069,1.26819,1.20386,1.34281,0.91621,0.96032,0.96709,0.64972,0.90864,0.95238,0.95692,0.61681,0.76452,1.4084,1.73473,1.2912,0.00354587,0.00354587,0.00354587
8,65.7357,0.73004,1.20308,1.04718,1.30559,0.94509,0.92857,0.96749,0.67435,0.94509,0.92857,0.96749,0.66665,0.69461,1.29663,1.0923,1.20636,0.00268018,0.00268018,0.00268018
9,70.5657,0.71948,1.22011,1.00772,1.30415,0.89017,0.88095,0.93833,0.61675,0.86029,0.90476,0.93287,0.51904,0.78028,1.64805,1.33002,1.28141,0.00181449,0.00181449,0.00181449
10,75.3708,0.67649,1.17035,0.95755,1.24624,0.96731,0.96825,0.97813,0.73704,0.96731,0.96825,0.97813,0.71965,0.61906,1.04406,0.80951,1.13151,0.000948806,0.000948806,0.000948806
