epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.521,1.15013,2.45707,3.22066,1.8233,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0754348,0.00291573,0.00291573
2,36.3848,1.13211,1.80868,1.80254,1.81365,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0496013,0.00532646,0.00532646
3,41.3916,1.04669,1.57428,1.41644,1.70425,0,0,0,0,0,0,0,0,3.72657,7518.3,inf,261.557,0.0231737,0.00714319,0.00714319
4,46.2681,0.97298,1.45919,1.20517,1.57262,0.00048,0.01587,0.00011,5e-05,0.00048,0.01587,0.00011,5e-05,2.82074,890.759,inf,73.6315,0.00745533,0.00745533,0.00745533
5,51.0894,0.94757,1.423,1.19897,1.57163,0.01348,0.20635,0.09314,0.04297,0.01348,0.20635,0.09237,0.04987,1.62713,46.5977,59.0815,4.34928,0.00640377,0.00640377,0.00640377
6,55.8942,0.85438,1.36677,1.12493,1.45894,0.73628,0.94444,0.93364,0.5882,0.73628,0.94444,0.93364,0.58862,0.83918,1.79226,4.28141,1.37696,0.00535221,0.00535221,0.00535221
7,60.697,0.82639,1.2865,0.96681,1.41019,0.90498,0.9071,0.95362,0.62499,0.90498,0.9071,0.95286,0.62419,0.88741,1.44748,1.05452,1.38797,0.00430066,0.00430066,0.00430066
8,65.5397,0.81072,1.24886,0.89724,1.39329,0.90684,0.92857,0.95861,0.67635,0.91564,0.93651,0.96151,0.6849,0.74362,1.18084,0.96546,1.27592,0.0032491,0.0032491,0.0032491
9,70.3386,0.75745,1.19444,0.83359,1.34472,0.97592,0.96502,0.98035,0.72081,0.97592,0.96502,0.98035,0.68268,0.69033,1.23304,0.7849,1.18557,0.00219754,0.00219754,0.00219754
10,75.1337,0.71349,1.15799,0.80105,1.28711,0.98393,0.97196,0.98839,0.74159,0.98393,0.97196,0.98839,0.72328,0.65652,1.12548,0.67003,1.17364,0.00114599,0.00114599,0.00114599
