epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1637,1.07147,2.37161,3.74519,1.95464,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0787953,0.00232471,0.00232471
2,38.4551,1.02376,1.82924,1.95779,1.82285,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0565347,0.00424707,0.00424707
3,43.6069,0.95235,1.62117,1.67505,1.69457,0.03301,0.1746,0.01715,0.00399,0.00466,0.01587,0.00069,0.00019,2.7189,55.9294,25.268,27.2265,0.0338007,0.00569612,0.00569612
4,48.6164,0.93021,1.56313,1.51889,1.67852,0.04245,0.06349,0.02299,0.00506,0.00721,0.02381,0.00375,0.00113,2.81397,39.8401,10.1254,17.7696,0.0105934,0.00667187,0.00667187
5,53.609,0.92157,1.55163,1.4713,1.67947,0.16546,0.14286,0.07309,0.03218,0.23689,0.04762,0.04157,0.02172,2.50379,4.83459,6.0446,4.71784,0.00596558,0.00596558,0.00596558
6,58.5908,0.83752,1.44246,1.28226,1.55468,0.60561,0.47619,0.51844,0.27748,0.66945,0.53175,0.58391,0.30047,1.22025,2.93791,2.97006,2.31973,0.00498698,0.00498698,0.00498698
7,63.6382,0.81165,1.34083,1.15589,1.50732,0.88257,0.9127,0.92556,0.65575,0.88257,0.9127,0.92556,0.64115,0.76098,1.34949,1.10928,1.4325,0.00400838,0.00400838,0.00400838
8,68.5859,0.78118,1.26187,1.0967,1.49197,0.89657,0.84921,0.93833,0.63717,0.9199,0.87302,0.93405,0.55903,0.78097,1.80618,1.05975,1.42191,0.00302977,0.00302977,0.00302977
9,73.7203,0.74334,1.2832,0.98098,1.45888,0.92891,0.88095,0.96727,0.67831,0.92891,0.88095,0.96727,0.63371,0.72235,1.31803,0.9701,1.35417,0.00205117,0.00205117,0.00205117
10,78.8072,0.67097,1.18898,0.91553,1.37673,0.96016,0.93651,0.98223,0.73241,0.96016,0.93651,0.98223,0.70195,0.62654,1.12857,0.7816,1.27581,0.00107256,0.00107256,0.00107256
