epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6959,1.16358,2.52694,3.96148,2.02396,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.075025,0.00315,0.00315
2,36.5424,1.28806,1.8046,2.42482,2.18161,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0487232,0.00575443,0.00575443
3,41.1757,1.10861,1.72053,2.0664,1.93586,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0217796,0.00771713,0.00771713
4,45.7637,1.02957,1.54904,1.80626,1.83497,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0078699,0.0078699,0.0078699
5,50.532,0.92919,1.50516,1.53277,1.73497,0.53339,0.24497,0.26618,0.13346,0.51646,0.2381,0.24285,0.10841,1.92721,300.343,4.97718,37.1591,0.00675987,0.00675987,0.00675987
6,55.3515,0.85954,1.38214,1.34241,1.60114,0.79402,0.48952,0.59675,0.33949,0.75568,0.46641,0.55381,0.27769,1.0466,2.27042,2.4544,1.84276,0.00564984,0.00564984,0.00564984
7,60.1289,0.82572,1.32197,1.2551,1.53585,0.71099,0.38095,0.44934,0.26882,0.71099,0.38095,0.44228,0.26729,1.31884,45.6523,3.0447,6.09316,0.00453981,0.00453981,0.00453981
8,64.9038,0.80648,1.26935,1.17897,1.5374,0.944,0.93658,0.97628,0.69494,0.92803,0.92099,0.95072,0.60878,0.66854,1.31518,0.96538,1.30175,0.00342978,0.00342978,0.00342978
9,69.7013,0.72177,1.15691,0.99421,1.42843,0.96042,0.96294,0.98332,0.66537,0.96042,0.96294,0.98332,0.67788,0.69635,1.09547,0.87289,1.31539,0.00231974,0.00231974,0.00231974
10,74.5256,0.66521,1.08065,0.91544,1.33597,0.95137,0.93154,0.98546,0.73765,0.95137,0.93154,0.98546,0.7142,0.62539,1.09522,0.80225,1.23743,0.00120971,0.00120971,0.00120971
