epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9238,1.23899,2.34308,3.60507,1.83998,0.00154,0.03968,0.00079,0.00022,0.00028,0.03968,0.00015,3e-05,3.12522,564.342,59.8826,97.5126,0.0754535,0.00314585,0.00314585
2,34.5333,1.20397,1.9039,2.16615,1.83941,0.00011,0.03175,6e-05,1e-05,0,0,0,0,2.98473,31730.9,inf,666.896,0.0495931,0.0057469,0.0057469
3,39.6674,1.09116,1.74254,1.71416,1.63465,0.00082,0.05556,0.00058,0.00016,0.00093,0.06349,0.00044,0.00012,2.87424,14.4324,inf,6.52997,0.0230917,0.00770713,0.00770713
4,44.4476,1.00871,1.58117,1.47058,1.53536,0.00082,0.05556,0.00058,0.00016,0.00093,0.06349,0.00044,0.00012,1.68487,15.0595,6.88621,4.46754,0.00798264,0.00798264,0.00798264
5,49.3903,0.95379,1.51125,1.46019,1.51075,0.26653,0.14286,0.09979,0.0404,0.20226,0.07937,0.06293,0.02401,1.72487,5.39302,6.14014,3.1618,0.00685685,0.00685685,0.00685685
6,54.4345,0.8488,1.40063,1.26873,1.3785,0.74811,0.84856,0.82084,0.47812,0.74811,0.84856,0.80866,0.4782,0.98641,1.94677,2.1273,1.47522,0.00573106,0.00573106,0.00573106
7,59.479,0.82577,1.34813,1.12014,1.33834,0.93953,0.8254,0.91062,0.58572,0.92974,0.81746,0.89973,0.56959,0.83395,1.48965,1.66904,1.2874,0.00460528,0.00460528,0.00460528
8,64.5203,0.82883,1.31383,1.07579,1.35674,0.83449,0.87302,0.92404,0.60179,0.84265,0.88095,0.9341,0.61843,0.85122,1.34002,1.17178,1.2669,0.00347949,0.00347949,0.00347949
9,69.6351,0.78448,1.30897,0.98607,1.31461,0.93589,0.93651,0.97179,0.7099,0.93589,0.93651,0.97179,0.69338,0.71875,1.17624,0.8711,1.17778,0.0023537,0.0023537,0.0023537
10,74.8325,0.71173,1.21436,0.89623,1.24429,0.97427,0.94444,0.97927,0.7447,0.98245,0.95238,0.98702,0.72177,0.66768,1.13855,0.83037,1.11835,0.00122791,0.00122791,0.00122791
