epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9495,1.23718,2.4062,3.76315,1.89616,0.00269,0.00794,0.00117,0.00025,0.00269,0.00794,0.00102,0.00025,2.70452,364.659,7.40485,30.8713,0.0752154,0.00290769,0.00290769
2,38.3474,1.22045,1.85339,2.06608,1.88095,0.00076,0.22222,0.00049,0.00016,0.00092,0.26984,0.00063,0.00018,nan,nan,nan,nan,0.0491583,0.00531215,0.00531215
3,43.4407,1.10566,1.69142,1.66188,1.6982,0.00049,0.14286,0.00029,9e-05,0.00043,0.07937,0.0002,8e-05,2.38566,167.605,inf,8.73328,0.0225092,0.00712459,0.00712459
4,48.4955,0.99318,1.58357,1.45786,1.56254,0.28202,0.28058,0.22852,0.12466,0.27404,0.27265,0.2103,0.09911,1.51056,7.07913,6.22156,2.88215,0.00737996,0.00737996,0.00737996
5,53.5208,0.97382,1.56364,1.4282,1.55478,0.66814,0.80159,0.82388,0.49359,0.68269,0.77778,0.77282,0.43514,0.95785,2.7425,4.14863,1.48352,0.00633994,0.00633994,0.00633994
6,58.5589,0.93455,1.48804,1.30028,1.50711,0.50034,0.45238,0.45612,0.23991,0.43262,0.19048,0.17355,0.07369,1.22455,6.02079,3.28221,1.91626,0.00529993,0.00529993,0.00529993
7,63.5902,0.91208,1.41027,1.20545,1.45975,0.85676,0.73016,0.87463,0.53713,0.85676,0.73016,0.84252,0.48764,0.94924,2.01919,1.70682,1.44548,0.00425991,0.00425991,0.00425991
8,68.6391,0.84674,1.35843,1.07783,1.39729,0.88775,0.87877,0.94214,0.62314,0.87579,0.81746,0.8886,0.50557,0.89058,2.07492,1.16052,1.38515,0.0032199,0.0032199,0.0032199
9,73.657,0.78073,1.29252,0.9662,1.34683,0.95842,0.98413,0.98908,0.71882,0.95842,0.98413,0.98908,0.70523,0.70752,1.22597,0.86665,1.18614,0.00217988,0.00217988,0.00217988
10,78.6564,0.73659,1.22757,0.9409,1.29219,0.96866,0.98116,0.99198,0.74961,0.96866,0.98116,0.99198,0.73328,0.66073,1.11891,0.77288,1.14908,0.00113987,0.00113987,0.00113987
