epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0087,1.80156,3.50318,3.01966,1.8843,0.00079,0.12698,0.00036,7e-05,0.00045,0.07143,0.00023,4e-05,4.54732,7323.16,inf,163.644,0.0708108,0.00324324,0.00324324
2,32.9914,1.78303,2.75151,1.76205,1.85195,0.00079,0.12698,0.00036,7e-05,0.00045,0.07143,0.00023,4e-05,nan,nan,nan,nan,0.0401597,0.0059255,0.0059255
3,38.0121,1.55999,2.4545,1.40048,1.60951,0.00154,0.39683,0.00109,0.00037,0.00015,0.03968,7e-05,2e-05,3.61203,2953.97,inf,12.6906,0.00884865,0.00794775,0.00794775
4,42.7899,1.45319,2.25083,1.22972,1.54285,0.13352,0.10317,0.05471,0.02883,0.09244,0.07143,0.03797,0.01581,2.86465,685.676,13.9096,4.10021,0.00703,0.00703,0.00703
5,47.744,1.41413,2.1849,1.19173,1.48395,0.56643,0.38095,0.43257,0.21506,0.47608,0.2619,0.27333,0.12615,1.80096,4.80642,6.5915,1.65892,0.00604,0.00604,0.00604
6,52.8112,1.30639,2.09127,1.06477,1.42139,0.71125,0.80159,0.85777,0.51189,0.705,0.80159,0.85845,0.46048,1.29941,3.55374,4.35168,1.39022,0.00505,0.00505,0.00505
7,57.7992,1.21566,1.89361,0.90883,1.34822,0.85945,0.82505,0.86171,0.55278,0.86446,0.83333,0.86888,0.54245,1.20142,2.08394,1.53142,1.31936,0.00406,0.00406,0.00406
8,62.7924,1.1596,1.85336,0.84889,1.32847,0.83116,0.8986,0.91956,0.60546,0.83882,0.90871,0.91977,0.61611,1.12254,1.79178,1.15836,1.22965,0.00307,0.00307,0.00307
9,67.7364,1.09705,1.75786,0.79336,1.2735,0.90026,0.93125,0.94454,0.69193,0.90026,0.93125,0.94454,0.66971,0.98584,1.6652,0.71645,1.12246,0.00208,0.00208,0.00208
10,73.0127,1.02597,1.69285,0.76759,1.21868,0.95275,0.96019,0.98053,0.74256,0.95275,0.96019,0.98053,0.71211,0.91235,1.59781,0.62208,1.09421,0.00109,0.00109,0.00109
