epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9252,1.18415,2.41386,3.07655,1.84284,0.0046,0.01587,0.00288,0.00139,0,0,0,0,2.89961,223.14,5.24122,14.1398,0.0818604,0.00208517,0.00208517
2,36.916,1.18195,1.79882,1.61667,1.78866,0.00996,0.00794,0.00181,0.00039,0,0,0,0,3.57659,136.29,8.78228,12.1317,0.0627982,0.00380945,0.00380945
3,41.8464,1.10922,1.79448,1.41067,1.71594,0.10152,0.00794,0.0026,0.00083,0.10152,0.00794,0.00207,0.00061,3.46589,344.777,6.93075,15.164,0.0433114,0.0051092,0.0051092
4,46.7325,0.9953,1.6725,1.22862,1.59756,0.14198,0.21429,0.0882,0.02952,0.0993,0.14286,0.04872,0.01409,2.26558,23.6464,9.24505,4.45203,0.0234001,0.0059844,0.0059844
5,51.5444,1.01618,1.59346,1.2288,1.60121,0.4844,0.4623,0.46485,0.20739,0.49272,0.47024,0.47076,0.22057,1.31271,3.19152,18.126,2.14836,0.00622522,0.00622522,0.00622522
6,56.3418,0.97965,1.54269,1.15371,1.56969,0.37473,0.46032,0.41637,0.26056,0.37473,0.46032,0.41935,0.25589,1.07974,2.42729,4.43343,1.83478,0.00520402,0.00520402,0.00520402
7,61.1784,0.95936,1.50637,1.11988,1.54215,0.83401,0.91718,0.90605,0.56742,0.82847,0.88168,0.89134,0.55128,0.88466,1.88196,1.04066,1.42249,0.00418283,0.00418283,0.00418283
8,65.9756,0.87878,1.41127,0.97906,1.46831,0.91553,0.89683,0.94186,0.64468,0.91553,0.89683,0.94093,0.6258,0.84565,1.55476,0.9452,1.37384,0.00316163,0.00316163,0.00316163
9,70.7579,0.84834,1.34055,0.88851,1.44233,0.92778,0.87302,0.95458,0.67517,0.93621,0.88095,0.96313,0.63009,0.79477,1.395,0.96494,1.32304,0.00214044,0.00214044,0.00214044
10,75.5472,0.77374,1.27056,0.83856,1.37197,0.96587,0.97619,0.98967,0.72886,0.96587,0.97619,0.98967,0.69209,0.75304,1.2481,0.72739,1.26013,0.00111924,0.00111924,0.00111924
