epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7158,1.21847,2.3615,3.49823,1.90138,0,0,0,0,0,0,0,0,3.63348,nan,10.5114,176.006,0.0756058,0.00329815,0.00329815
2,36.6788,1.17745,1.878,1.98193,1.8257,0.00191,0.19841,0.00119,0.00043,0.00138,0.14286,0.00083,0.00018,nan,nan,nan,nan,0.0498708,0.00602468,0.00602468
3,41.5684,1.09613,1.79247,1.72166,1.68364,0.00191,0.19841,0.00119,0.00043,0.00138,0.14286,0.00083,0.00018,3.03146,109.492,17.7409,69.4729,0.0234635,0.00807888,0.00807888
4,46.4395,0.97119,1.59424,1.45442,1.56348,0.36858,0.38889,0.32931,0.15896,0.36858,0.38889,0.33631,0.15973,1.5766,4.16349,10.0398,3.03421,0.00836666,0.00836666,0.00836666
5,51.2796,0.93986,1.5648,1.35706,1.53535,0.12635,0.11111,0.11497,0.05777,0.13538,0.11905,0.11037,0.064,1.68358,7.04556,11.7003,4.52143,0.00718554,0.00718554,0.00718554
6,56.0798,0.86048,1.52195,1.16847,1.41146,0.67581,0.72798,0.7411,0.43786,0.61668,0.6746,0.63577,0.36028,0.91805,2.2575,2.11612,1.47932,0.00600443,0.00600443,0.00600443
7,60.9272,0.87323,1.42009,1.0851,1.42009,0.90778,0.94444,0.95522,0.62198,0.92427,0.94444,0.95675,0.59026,0.82398,1.5675,1.13186,1.2938,0.00482331,0.00482331,0.00482331
8,65.7639,0.81958,1.38476,1.03456,1.37753,0.79887,0.75655,0.82157,0.55473,0.80725,0.76448,0.82483,0.51061,0.79113,1.54441,1.47153,1.26811,0.0036422,0.0036422,0.0036422
9,70.5478,0.76614,1.30147,0.91627,1.33835,0.87659,0.75397,0.8368,0.57228,0.85813,0.7381,0.81546,0.48834,0.86864,1.79878,1.29725,1.32794,0.00246108,0.00246108,0.00246108
10,75.3316,0.72888,1.24891,0.87745,1.27718,0.98034,0.95238,0.9786,0.71466,0.98034,0.95238,0.9786,0.70558,0.70767,1.15915,0.74923,1.19396,0.00127997,0.00127997,0.00127997
