epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7879,1.23874,2.52856,3.61595,1.8069,0.00113,0.04762,0.00059,8e-05,0.00019,0.00794,9e-05,1e-05,4.23727,nan,inf,1830.89,0.0750428,0.00294977,0.00294977
2,36.816,1.31012,2.06657,2.19684,1.85669,0.00104,0.10317,0.00062,0.0001,8e-05,0.00794,4e-05,0,nan,nan,nan,nan,0.0487999,0.00538901,0.00538901
3,41.7871,1.22052,2.04887,1.96877,1.75227,0.00044,0.04762,0.00019,5e-05,0,0,0,0,nan,nan,nan,nan,0.0219564,0.00722769,0.00722769
4,46.5845,1.04291,1.71627,1.53853,1.55654,0.07533,0.19048,0.07058,0.0313,0.42857,0.04762,0.0462,0.0209,2.04275,11.4692,19.8462,4.44077,0.00742916,0.00742916,0.00742916
5,51.3833,0.98834,1.61377,1.38701,1.51509,0.54158,0.55556,0.57483,0.26747,0.51117,0.52381,0.51376,0.2217,1.46418,3.13718,2.63849,2.08993,0.00638221,0.00638221,0.00638221
6,56.2095,0.93389,1.58805,1.24725,1.42904,0.84454,0.8254,0.88176,0.51049,0.82754,0.80952,0.8578,0.5241,1.01961,1.91145,1.74861,1.49558,0.00533526,0.00533526,0.00533526
7,60.9957,0.95454,1.50606,1.26509,1.44897,0.7781,0.77924,0.86069,0.51756,0.79407,0.7957,0.88531,0.51364,0.9806,1.6243,1.65777,1.41547,0.00428831,0.00428831,0.00428831
8,65.7821,0.84548,1.41065,1.06195,1.34038,0.94824,0.87239,0.96053,0.66891,0.94824,0.87239,0.95402,0.64517,0.83829,1.55679,1.176,1.26184,0.00324136,0.00324136,0.00324136
9,70.566,0.83362,1.41179,1.01827,1.34343,0.93706,0.94532,0.96697,0.68533,0.93706,0.94532,0.97488,0.66892,0.76529,1.36762,0.91789,1.19659,0.00219442,0.00219442,0.00219442
10,75.3863,0.75622,1.35115,0.93992,1.25667,0.97348,0.98413,0.98751,0.73801,0.97348,0.98413,0.98651,0.69746,0.709,1.26812,0.79462,1.14793,0.00114747,0.00114747,0.00114747
