epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5595,1.13287,2.17062,3.09322,1.80271,0.00118,0.14286,0.00049,0.0001,0.00039,0.04762,0.00018,2e-05,3.05251,nan,inf,540.514,0.0754898,0.00297069,0.00297069
2,36.5236,1.12037,1.72844,1.731,1.69566,0.0002,0.00794,0.0001,5e-05,0.0002,0.00794,0.0001,4e-05,nan,nan,nan,nan,0.0497016,0.00542682,0.00542682
3,41.4204,1.05377,1.58151,1.51038,1.63194,0.12646,0.03175,0.02625,0.01197,0.09236,0.01587,0.00809,0.00461,2.66305,17.4345,4.75471,4.6413,0.0233082,0.00727769,0.00727769
4,46.2894,0.95029,1.43524,1.20447,1.49336,0.1097,0.67185,0.09797,0.05297,0.11096,0.6746,0.09664,0.04416,1.05852,4.52317,11.3551,1.67252,0.0075956,0.0075956,0.0075956
5,51.1442,0.9147,1.41168,1.13687,1.44501,0.23256,0.31746,0.18577,0.08883,0.26744,0.36508,0.20592,0.09375,1.11527,4.36535,24.7312,1.79416,0.00652414,0.00652414,0.00652414
6,55.9818,0.84298,1.29931,1.06782,1.37406,0.82771,0.83882,0.87453,0.58089,0.82835,0.84921,0.87081,0.56229,0.84001,2.13065,1.48596,1.31922,0.00545267,0.00545267,0.00545267
7,60.8169,0.79502,1.2344,0.9302,1.3024,0.79944,0.77778,0.84893,0.53966,0.84863,0.7619,0.84202,0.52786,0.86151,1.54325,1.45631,1.31898,0.00438121,0.00438121,0.00438121
8,65.6623,0.7648,1.21625,0.89932,1.28764,0.93012,0.8254,0.93222,0.6642,0.93012,0.8254,0.93123,0.6798,0.74132,1.16842,1.19389,1.1948,0.00330974,0.00330974,0.00330974
9,70.482,0.72738,1.15395,0.83172,1.25869,0.89143,0.93651,0.93304,0.65128,0.89143,0.93651,0.93041,0.63972,0.74347,1.3752,0.8484,1.21182,0.00223828,0.00223828,0.00223828
10,75.2922,0.66785,1.09775,0.75803,1.19554,0.93433,0.98413,0.98292,0.74894,0.93433,0.98413,0.98138,0.7272,0.64089,1.14016,0.64725,1.1004,0.00116681,0.00116681,0.00116681
