epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7048,0.95332,1.93976,3.68526,1.48885,0.00242,0.00794,0.00022,2e-05,0,0,0,0,nan,nan,nan,nan,0.0755034,0.00319569,0.00319569
2,36.7202,0.96151,1.43903,2.19672,1.50893,9e-05,0.01587,5e-05,0,0,0,0,0,2.45165,670.185,16.5098,86.0589,0.0496835,0.00583733,0.00583733
3,41.5661,0.90831,1.35473,1.87228,1.43491,9e-05,0.01587,5e-05,0,0,0,0,0,2.951,9.5068,10.5444,18.6409,0.023212,0.00782734,0.00782734
4,46.2849,0.81989,1.29872,1.69682,1.31035,0.10141,0.02381,0.02208,0.00792,0.12557,0.03175,0.02237,0.00566,2.03583,4.60412,8.00258,4.45076,0.00810573,0.00810573,0.00810573
5,51.057,0.8204,1.30618,1.62543,1.32476,0.3085,0.13492,0.09731,0.05133,0.17719,0.07937,0.05488,0.03277,1.59706,3.51906,8.33038,3.57476,0.00696097,0.00696097,0.00696097
6,55.8368,0.74284,1.1735,1.42083,1.22818,0.69866,0.47845,0.57995,0.32899,0.60211,0.42063,0.46899,0.21145,0.89725,3.52556,2.43534,1.55867,0.00581622,0.00581622,0.00581622
7,60.6164,0.71738,1.08798,1.24211,1.18557,0.71645,0.59524,0.64964,0.38807,0.55566,0.4127,0.38679,0.15996,0.84213,2.74809,2.29643,1.31942,0.00467146,0.00467146,0.00467146
8,65.4357,0.66559,1.05398,1.15673,1.15181,0.86706,0.93651,0.94726,0.66936,0.86706,0.93651,0.94726,0.63941,0.59403,1.04924,1.03193,1.02536,0.0035267,0.0035267,0.0035267
9,70.2203,0.61152,0.99027,1.02632,1.1008,0.97319,0.96825,0.99056,0.71479,0.97319,0.96825,0.99056,0.69059,0.573,0.94256,0.87062,0.98229,0.00238195,0.00238195,0.00238195
10,75.0079,0.57019,0.95138,0.94011,1.02878,0.91902,0.99075,0.98881,0.72824,0.91902,0.99075,0.98881,0.70553,0.54653,0.89494,0.81613,0.95885,0.00123719,0.00123719,0.00123719
