epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2932,0.89647,1.85189,3.36462,1.67784,0.00208,0.42063,0.00283,0.00069,0,0,0,0,1.93692,62.8252,6.03941,4.51697,0.0740772,0.00176954,0.00176954
2,38.9685,0.92613,1.47692,1.81273,1.69322,0.00023,0.06349,0.00012,2e-05,0,0,0,0,2.61285,88.9876,6.59648,16.0587,0.0470793,0.0032331,0.0032331
3,44.3568,0.89922,1.5497,1.74239,1.63133,0.3433,0.16667,0.1253,0.0521,0.32605,0.15873,0.09687,0.04116,1.49807,18.1194,9.76428,2.73892,0.0197213,0.00433666,0.00433666
4,49.7778,0.86847,1.40943,1.54756,1.6023,0.44381,0.62698,0.59793,0.2876,0.43349,0.63492,0.56443,0.269,1.05524,2.20949,10.5207,2.00714,0.00449271,0.00449271,0.00449271
5,55.0972,0.8055,1.33522,1.40504,1.52267,0.57569,0.61905,0.64684,0.35257,0.61337,0.46032,0.49689,0.23471,0.94378,2.77321,2.56888,1.63394,0.00386028,0.00386028,0.00386028
6,60.2544,0.72595,1.25958,1.28284,1.43418,0.95587,0.85965,0.92948,0.62385,0.92078,0.83023,0.86764,0.49795,0.73531,1.77318,1.28505,1.36011,0.00322784,0.00322784,0.00322784
7,65.3457,0.71224,1.13833,1.07956,1.39813,0.94203,0.94444,0.96555,0.70312,0.94203,0.94444,0.9644,0.68554,0.65094,1.1166,0.94179,1.26701,0.00259541,0.00259541,0.00259541
8,70.2962,0.67357,1.08454,1.01199,1.36914,0.96293,0.95238,0.97817,0.72315,0.96293,0.95238,0.97817,0.70889,0.61843,1.09797,0.88482,1.23498,0.00196298,0.00196298,0.00196298
9,75.3064,0.64477,1.04556,0.91438,1.35155,0.9598,0.95238,0.9776,0.72777,0.9679,0.96032,0.97841,0.71355,0.58305,1.01815,0.82147,1.21507,0.00133055,0.00133055,0.00133055
10,80.4707,0.57924,0.99548,0.85183,1.26728,0.95767,0.97619,0.98726,0.74369,0.95767,0.97619,0.97941,0.70141,0.57671,1.10268,0.72025,1.21387,0.00069812,0.00069812,0.00069812
