epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7495,1.50882,3.07255,2.89887,2.04411,0.00015,0.03968,8e-05,1e-05,0,0,0,0,3.79142,nan,inf,2168.76,0.0704249,0.0028573,0.0028573
2,37.9507,1.55661,2.42575,1.75879,2.00898,0.00211,0.28571,0.00135,0.00029,0.00015,0.03968,7e-05,1e-05,nan,nan,nan,nan,0.0394548,0.00522058,0.00522058
3,43.0089,1.39511,2.19811,1.4015,1.86316,4e-05,0.00794,2e-05,0,0,0,0,0,nan,nan,nan,nan,0.00790351,0.00700261,0.00700261
4,48.0022,1.23841,2.02415,1.23875,1.73021,0.00124,0.19048,0.00053,9e-05,0.00022,0.06349,0.00012,2e-05,nan,nan,nan,nan,0.00619441,0.00619441,0.00619441
5,52.9845,1.16968,1.89728,1.09972,1.65746,0.37551,0.28571,0.2339,0.10175,0.35465,0.26984,0.22194,0.09754,2.33067,32.8411,4.61482,3.71534,0.00532254,0.00532254,0.00532254
6,57.9702,1.15421,1.86321,1.06755,1.64165,0.74313,0.73474,0.80582,0.44396,0.74313,0.73474,0.81424,0.4669,1.32505,2.77758,1.50886,1.84984,0.00445068,0.00445068,0.00445068
7,62.9883,1.05126,1.73775,0.89976,1.52764,0.91183,0.90291,0.94199,0.60042,0.89564,0.88546,0.92529,0.60226,1.0732,1.85665,0.9296,1.46929,0.00357882,0.00357882,0.00357882
8,68.0032,1.02919,1.62172,0.85092,1.50464,0.7618,0.863,0.83038,0.53988,0.77576,0.87861,0.85188,0.54058,1.10992,2.01501,1.0782,1.49479,0.00270695,0.00270695,0.00270695
9,72.9988,0.99408,1.61756,0.79111,1.47264,0.94297,0.91853,0.96586,0.68085,0.94297,0.91853,0.96586,0.66989,0.91071,1.6432,0.67513,1.31546,0.00183509,0.00183509,0.00183509
10,78.0104,0.934,1.5467,0.77487,1.41446,0.95689,0.95238,0.98408,0.71146,0.95689,0.95238,0.98408,0.7178,0.84958,1.37354,0.64565,1.26118,0.000963224,0.000963224,0.000963224
