epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8713,1.58795,3.04452,4.39052,2.18823,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.07507,0.003195,0.003195
2,36.9423,1.71353,2.45653,3.11798,2.36777,0.00369,0.70635,0.00357,0.00118,0.00206,0.60317,0.00177,0.00051,2.38815,255.929,inf,6.09471,0.0488049,0.00583613,0.00583613
3,42.1708,1.62803,2.34352,2.5978,2.28495,0.00082,0.0873,0.00051,0.00012,0.0003,0.03175,0.00015,5e-05,nan,nan,nan,nan,0.0218883,0.00782583,0.00782583
4,47.706,1.44775,2.12279,2.3056,2.09344,0.04,0.12698,0.02427,0.00648,0.0175,0.05556,0.00477,0.00148,2.10783,7.15995,134.201,3.01525,0.00797964,0.00797964,0.00797964
5,52.9965,1.29601,1.88121,1.84852,1.87174,0.41446,0.81746,0.67527,0.36245,0.41848,0.8254,0.68997,0.41356,1.24876,5.39745,9.16108,2.01449,0.00685285,0.00685285,0.00685285
6,58.1917,1.20419,1.84882,1.72845,1.77656,0.76238,0.77778,0.81929,0.48056,0.77095,0.7619,0.8106,0.48223,1.15713,1.9547,3.45412,1.72149,0.00572606,0.00572606,0.00572606
7,63.2466,1.13439,1.68471,1.50445,1.65072,0.73922,0.71429,0.78534,0.46636,0.74743,0.72222,0.79298,0.48262,1.18624,1.80102,1.78043,1.70853,0.00459928,0.00459928,0.00459928
8,68.2787,1.04487,1.59449,1.29701,1.57475,0.90736,0.92063,0.95028,0.6315,0.89778,0.90476,0.93028,0.62526,0.95143,1.7591,1.21323,1.43742,0.00347249,0.00347249,0.00347249
9,73.4527,0.99988,1.53366,1.19768,1.51586,0.90299,0.94444,0.97187,0.68053,0.89391,0.96825,0.96784,0.67832,0.91202,1.40317,1.0212,1.38115,0.0023457,0.0023457,0.0023457
10,78.8212,0.90443,1.44602,1.07269,1.42913,0.96694,0.9284,0.98888,0.72092,0.96694,0.9284,0.98888,0.72493,0.80982,1.29846,0.94114,1.3101,0.00121892,0.00121892,0.00121892
