epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6286,1.03749,2.1659,3.59509,1.71415,0,0,0,0,0,0,0,0,3.43792,872.833,6.96166,77.6007,0.0757159,0.00218647,0.00218647
2,36.6905,1.05411,1.6073,1.92645,1.7371,0.00069,0.02381,0.00035,0.00012,0.00069,0.02381,0.00034,9e-05,2.57318,3993.18,inf,32.4266,0.050318,0.00399448,0.00399448
3,41.631,0.97173,1.52772,1.6349,1.57403,0.00029,0.03175,0.00011,2e-05,0.00019,0.02381,7e-05,3e-05,nan,nan,nan,nan,0.0244749,0.00535727,0.00535727
4,46.3268,0.90598,1.39541,1.41563,1.50131,0.21103,0.11111,0.11251,0.06092,0.2207,0.05556,0.06362,0.01734,2.26818,19.9839,6.4589,4.37245,0.00580529,0.00580529,0.00580529
5,51.1236,0.90953,1.4238,1.50895,1.5187,0.54668,0.62698,0.59413,0.25064,0.46367,0.20635,0.18567,0.06541,1.32405,4.95833,3.34348,1.91615,0.00498706,0.00498706,0.00498706
6,55.9591,0.87273,1.36907,1.30035,1.4666,0.84385,0.83333,0.90068,0.57381,0.84385,0.83333,0.89211,0.56297,0.85429,1.70754,1.40608,1.4185,0.00416882,0.00416882,0.00416882
7,60.7554,0.85098,1.28929,1.26717,1.43421,0.82339,0.85106,0.90902,0.608,0.7925,0.81841,0.85192,0.44615,0.79224,2.10735,1.21848,1.32282,0.00335059,0.00335059,0.00335059
8,65.5476,0.76865,1.26904,1.14352,1.35607,0.89543,0.93651,0.95745,0.68051,0.89543,0.93651,0.95141,0.56259,0.74799,1.70011,1.1675,1.26282,0.00253235,0.00253235,0.00253235
9,70.3443,0.71736,1.17019,1.01943,1.32128,0.92904,0.93525,0.96627,0.71238,0.92904,0.93525,0.96316,0.69628,0.66087,1.13887,0.94182,1.18873,0.00171412,0.00171412,0.00171412
10,75.7411,0.64794,1.11661,0.96952,1.23642,0.97549,0.9478,0.98982,0.74355,0.97549,0.9478,0.98982,0.73239,0.6192,1.03147,0.85205,1.14402,0.00089588,0.00089588,0.00089588
