epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9419,1.20908,2.42189,3.62774,1.83528,0.00823,0.07143,0.00219,0.00047,0.00042,0.04762,0.00022,6e-05,2.61136,5187,72.2155,83.8787,0.0759552,0.0028209,0.0028209
2,36.7779,1.20935,1.92014,2.05803,1.77816,0.00823,0.07143,0.00219,0.00047,0.00042,0.04762,0.00022,6e-05,nan,nan,nan,nan,0.0506759,0.00515351,0.00515351
3,41.705,1.07611,1.64239,1.638,1.58645,0.00067,0.10317,0.00037,0.00015,0.00031,0.04762,0.00016,7e-05,nan,nan,nan,nan,0.0248222,0.00691173,0.00691173
4,46.5452,1.031,1.57497,1.48417,1.56125,0.3617,0.13492,0.14084,0.0437,0.40426,0.15079,0.15386,0.04317,1.65818,9.63769,21.7469,3.09358,0.00737961,0.00737961,0.00737961
5,51.325,0.96879,1.48542,1.32032,1.51376,0.48443,0.19841,0.21946,0.09078,0.38436,0.12392,0.12253,0.03535,1.86364,9.0123,4.59674,2.83289,0.00633948,0.00633948,0.00633948
6,56.1157,0.90803,1.60359,1.22122,1.41633,0.66665,0.65073,0.68113,0.3886,0.64346,0.61592,0.64362,0.29108,1.04049,3.03222,2.64536,1.56337,0.00529935,0.00529935,0.00529935
7,60.9133,0.8604,1.36433,1.12311,1.38352,0.88739,0.92063,0.94753,0.63331,0.90298,0.93651,0.96083,0.61015,0.82338,1.46033,1.241,1.28903,0.00425922,0.00425922,0.00425922
8,65.748,0.80836,1.311,1.05336,1.34454,0.90967,0.95911,0.9699,0.69455,0.90967,0.95911,0.97151,0.67961,0.70538,1.24703,0.99177,1.17546,0.00321909,0.00321909,0.00321909
9,70.55,0.77593,1.29527,0.9508,1.32171,0.94348,0.97619,0.973,0.72445,0.94348,0.97619,0.973,0.68035,0.68683,1.21527,0.83116,1.1421,0.00217896,0.00217896,0.00217896
10,75.346,0.71638,1.19998,0.88416,1.24473,0.98138,0.96032,0.98566,0.75575,0.98138,0.96032,0.98461,0.7202,0.62774,1.14255,0.71314,1.10143,0.00113883,0.00113883,0.00113883
