epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.725,1.33357,2.47721,3.69158,1.95232,0.00247,0.00794,0.00063,0.00013,0,0,0,0,nan,nan,nan,nan,0.0747942,0.00359424,0.00359424
2,37.6894,1.31481,1.93027,2.18661,1.88291,0.00247,0.00794,0.00063,0.00013,0,0,0,0,nan,nan,nan,nan,0.0481674,0.00656736,0.00656736
3,42.7838,1.19764,1.8718,2.00224,1.79115,0.00259,0.2619,0.00167,0.00042,0.00041,0.09524,0.00022,4e-05,2.54818,2452.74,inf,8.71415,0.0208096,0.00880964,0.00880964
4,47.7739,1.089,1.72218,1.68625,1.63727,0.32292,0.61111,0.37785,0.14079,0.32286,0.45238,0.2725,0.09798,1.41287,39.1561,10.0152,2.75505,0.00877644,0.00877644,0.00877644
5,52.783,1.02283,1.66616,1.51647,1.58295,0.27201,0.29365,0.223,0.10342,0.21434,0.21435,0.13067,0.04788,1.67093,21.3777,4.10698,2.9475,0.00754191,0.00754191,0.00754191
6,57.7883,0.96327,1.59315,1.37587,1.49936,0.79418,0.64286,0.75267,0.43193,0.79418,0.64286,0.74675,0.42189,1.04718,2.74503,1.97427,1.5975,0.00630739,0.00630739,0.00630739
7,62.7936,0.93746,1.46531,1.29259,1.46412,0.73988,0.71429,0.77525,0.44809,0.74175,0.71429,0.76424,0.41233,1.04946,2.16623,1.80491,1.54607,0.00507287,0.00507287,0.00507287
8,67.8147,0.88628,1.40307,1.15058,1.40965,0.85265,0.82667,0.9087,0.59829,0.84606,0.81746,0.86954,0.5205,0.87309,1.89306,1.62943,1.31886,0.00383835,0.00383835,0.00383835
9,72.8572,0.82608,1.41141,1.07033,1.36439,0.81057,0.74711,0.83215,0.52205,0.79664,0.70635,0.80561,0.45708,0.99505,1.74379,1.4074,1.41699,0.00260383,0.00260383,0.00260383
10,77.8492,0.83597,1.39731,1.03429,1.35051,0.94433,0.94242,0.977,0.66611,0.94433,0.94242,0.97654,0.63367,0.83929,1.45178,0.94321,1.30662,0.00136931,0.00136931,0.00136931
