epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9925,1.06872,2.22834,3.61833,2.14769,0.00128,0.11111,0.00066,0.00013,0,0,0,0,3.42811,1217.39,inf,1431.71,0.0747386,0.00264558,0.00264558
2,37.2889,1.1208,1.66351,2.05617,2.19398,0.00128,0.11111,0.00066,0.00013,0,0,0,0,nan,nan,nan,nan,0.0482448,0.00483394,0.00483394
3,42.2887,1.05533,1.62887,1.77584,2.07885,0.00321,0.04762,0.00057,0.00014,0,0,0,0,2.3057,1498.43,145.046,7.82502,0.021213,0.00648431,0.00648431
4,47.108,0.93291,1.50789,1.46944,1.9045,0.00046,0.0873,0.00024,0.00011,0.00023,0.05556,0.00012,5e-05,2.33071,380.39,inf,6.67968,0.00666649,0.00666649,0.00666649
5,51.9278,0.89934,1.44548,1.3708,1.86006,0.40114,0.19841,0.18854,0.09555,0.35167,0.1746,0.15999,0.07343,1.74549,41.1674,4.94473,3.76651,0.00572865,0.00572865,0.00572865
6,56.7808,0.81514,1.38716,1.21918,1.74341,0.86018,0.86508,0.91911,0.58627,0.86018,0.86508,0.91788,0.58785,0.77389,1.44029,1.77909,1.59936,0.00479081,0.00479081,0.00479081
7,61.5893,0.80459,1.30204,1.09981,1.67543,0.92064,0.82865,0.91438,0.56109,0.90315,0.81413,0.89022,0.53626,0.86859,1.51468,1.14457,1.68655,0.00385298,0.00385298,0.00385298
8,66.3898,0.7415,1.2538,1.03313,1.65518,0.89299,0.92857,0.9576,0.67384,0.90007,0.9127,0.94876,0.64907,0.71642,1.26595,0.99142,1.51975,0.00291514,0.00291514,0.00291514
9,71.2075,0.73089,1.20253,0.92935,1.623,0.92508,0.98004,0.97254,0.7224,0.92508,0.98004,0.97254,0.68334,0.65115,1.1662,0.85067,1.44058,0.0019773,0.0019773,0.0019773
10,76.0451,0.65571,1.14476,0.87429,1.53899,0.98246,0.96032,0.98741,0.74043,0.98246,0.96032,0.98741,0.72161,0.62242,1.1036,0.6853,1.41415,0.00103946,0.00103946,0.00103946
