epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6241,1.07335,2.08684,3.82748,2.25279,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0680562,0.0036998,0.0036998
2,36.7046,1.04338,1.60482,2.191,2.29545,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0344836,0.0067608,0.0067608
3,41.55,0.94807,1.47283,1.82252,2.06791,0.00087,0.20635,0.00052,0.00015,0.0008,0.19048,0.00044,0.00012,nan,nan,nan,nan,0.00832796,0.00832796,0.00832796
4,46.4052,0.84629,1.34024,1.49833,1.93974,0.01552,0.3501,0.0113,0.00341,0.01406,0.34218,0.01014,0.00252,1.61901,22.123,45.6212,12.9161,0.00730194,0.00730194,0.00730194
5,51.2192,0.8559,1.36295,1.47707,1.94863,0.24996,0.30159,0.22156,0.10702,0.24561,0.30159,0.23063,0.107,1.35798,2.60024,8.10246,3.48342,0.00627591,0.00627591,0.00627591
6,56.0258,0.8411,1.29711,1.4108,1.88283,0.54767,0.53968,0.57384,0.28552,0.54332,0.50794,0.5098,0.24336,1.01343,2.85943,4.20621,2.31186,0.00524989,0.00524989,0.00524989
7,60.8416,0.76765,1.2037,1.24768,1.7659,0.86142,0.88804,0.91567,0.54825,0.86452,0.86098,0.92128,0.54879,0.83969,1.55035,1.46747,1.86095,0.00422387,0.00422387,0.00422387
8,65.681,0.74627,1.21324,1.13441,1.74372,0.916,0.95197,0.96812,0.67357,0.916,0.95197,0.96588,0.65194,0.66167,1.1784,1.76123,1.55192,0.00319785,0.00319785,0.00319785
9,70.4789,0.69824,1.13524,1.09824,1.67874,0.94743,0.92857,0.96714,0.6578,0.94743,0.92857,0.9669,0.63131,0.66632,1.29527,1.13037,1.55002,0.00217183,0.00217183,0.00217183
10,75.2764,0.68802,1.08172,1.09985,1.63923,0.96735,0.94047,0.97556,0.7021,0.96735,0.94047,0.97512,0.69701,0.61845,1.01777,0.94788,1.45889,0.00114581,0.00114581,0.00114581
