epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6285,1.31099,2.50494,4.17385,1.95723,0.00424,0.01587,0.00084,0.00016,0,0,0,0,3.56054,13004.7,941.009,210.522,0.0752154,0.00290769,0.00290769
2,40.6912,1.31651,2.03919,2.4871,1.98572,0.00226,0.14286,0.00133,0.00022,0.00013,0.00794,6e-05,2e-05,3.30172,8254.97,143.787,206.536,0.0491588,0.00531262,0.00531262
3,45.5636,1.21865,1.86403,2.10885,1.83064,0.00048,0.00794,0.00024,7e-05,0,0,0,0,3.5311,18.4332,40.3311,16.5816,0.0225106,0.00712603,0.00712603
4,50.3249,1.07834,1.71067,1.7665,1.69556,0.67215,0.03968,0.04913,0.02874,0.67215,0.03968,0.0433,0.02353,2.87228,30.4438,9.74386,5.48009,0.00738251,0.00738251,0.00738251
5,55.145,1.03956,1.74319,1.71727,1.65803,0.68015,0.60317,0.69271,0.38973,0.64381,0.57143,0.60842,0.28752,1.2577,4.23575,2.33232,1.96706,0.00634334,0.00634334,0.00634334
6,59.9599,1.00351,1.60599,1.50075,1.60428,0.69902,0.71888,0.74466,0.42389,0.70384,0.73016,0.71963,0.40556,1.17232,2.5052,2.50808,1.76339,0.00530418,0.00530418,0.00530418
7,64.7619,0.96279,1.5014,1.38725,1.55204,0.7795,0.72949,0.78195,0.494,0.81763,0.6746,0.7658,0.44352,1.02467,1.88369,1.78625,1.48673,0.00426502,0.00426502,0.00426502
8,69.5931,0.86141,1.42476,1.22705,1.46749,0.85218,0.7778,0.85144,0.55825,0.84173,0.71756,0.77825,0.47537,0.94414,2.36302,1.5908,1.46421,0.00322585,0.00322585,0.00322585
9,74.403,0.85159,1.39681,1.12174,1.43584,0.92398,0.96464,0.97179,0.7006,0.92398,0.96464,0.97179,0.69064,0.78125,1.31548,1.11325,1.25799,0.00218669,0.00218669,0.00218669
10,79.2081,0.79534,1.34243,1.09671,1.37126,0.98327,0.93293,0.97755,0.73136,0.98327,0.93293,0.97755,0.70408,0.71968,1.28282,0.91622,1.24815,0.00114752,0.00114752,0.00114752
