epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7293,1.3719,2.58922,5.16917,0.93749,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0754425,0.00313477,0.00313477
2,36.7711,1.34481,1.87675,2.89169,0.90908,0.0013,0.11905,0.00078,0.00025,0.00078,0.07143,0.00044,8e-05,nan,nan,nan,nan,0.0495736,0.00572746,0.00572746
3,41.6474,1.15479,1.68787,2.35382,0.78952,0.14135,0.04762,0.01473,0.00378,0.19676,0.04762,0.01631,0.00347,3.62263,11.7193,8.58084,6.43328,0.023067,0.00768239,0.00768239
4,46.4877,1.09827,1.65209,2.00885,0.76264,0.44231,0.18254,0.14176,0.06125,0.44231,0.18254,0.13868,0.07609,1.93097,4.70826,16.6926,1.8053,0.00795878,0.00795878,0.00795878
5,51.3061,1.02877,1.55323,1.85752,0.73719,0.09946,0.09524,0.05796,0.02546,0.05937,0.05556,0.02381,0.00848,1.85429,5.75332,13.341,1.17962,0.00683837,0.00683837,0.00683837
6,56.0953,0.97734,1.49716,1.77054,0.69141,0.49046,0.35714,0.38989,0.21917,0.57271,0.26984,0.26108,0.1122,1.22441,3.62139,4.23161,0.82009,0.00571796,0.00571796,0.00571796
7,60.9203,1.07309,1.47023,1.86582,0.73205,0.82822,0.72706,0.87055,0.50261,0.90148,0.65358,0.78268,0.36756,1.05144,2.28444,2.1035,0.70101,0.00459755,0.00459755,0.00459755
8,65.7585,0.90763,1.34529,1.53996,0.66555,0.93412,0.90021,0.96168,0.63975,0.93678,0.92063,0.97155,0.62884,0.82848,1.48164,1.5627,0.58767,0.00347714,0.00347714,0.00347714
9,70.5576,0.85956,1.35384,1.40662,0.64182,0.89139,0.85714,0.92562,0.61048,0.89139,0.85714,0.92687,0.54057,0.88126,1.71409,1.61818,0.59935,0.00235673,0.00235673,0.00235673
10,75.3457,0.7971,1.30005,1.34733,0.61204,0.92513,0.96032,0.98422,0.68961,0.92513,0.96032,0.98088,0.65963,0.76406,1.45306,1.08511,0.55792,0.00123633,0.00123633,0.00123633
