epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9004,1.27006,2.43686,3.87354,2.03335,0.00131,0.12698,0.00071,0.00014,0.00088,0.15079,0.00047,0.00011,3.18668,nan,inf,897.422,0.07822,0.00287753,0.00287753
2,36.7557,1.23824,1.85364,2.1047,1.90315,0.00131,0.12698,0.00071,0.00014,0.00088,0.15079,0.00047,0.00011,nan,nan,nan,nan,0.0552553,0.00525529,0.00525529
3,41.6821,1.11009,1.76395,1.78006,1.72994,0.00044,0.12698,0.00025,6e-05,5e-05,0.01587,3e-05,0,2.75924,4446.69,inf,21.0137,0.0317029,0.00704539,0.00704539
4,46.361,0.94233,1.5739,1.39518,1.55545,0.0201,0.06349,0.01069,0.00159,0,0,0,0,3.31778,451.156,3.91391,9.25504,0.00819172,0.00819172,0.00819172
5,51.1213,0.92696,1.49029,1.33896,1.54768,0.03757,0.06349,0.01482,0.00608,0.02859,0.04762,0.01218,0.00401,3.00682,114.452,6.32643,10.284,0.0070323,0.0070323,0.0070323
6,55.9553,0.90184,1.49526,1.31102,1.47692,0.23133,0.20635,0.10926,0.04076,0.27814,0.18254,0.12967,0.03862,1.86916,12.7673,4.64879,2.94907,0.00587287,0.00587287,0.00587287
7,60.7842,0.85448,1.37658,1.1489,1.43281,0.64864,0.74723,0.73231,0.4425,0.64291,0.74603,0.72304,0.41501,0.93683,1.88089,2.44507,1.51689,0.00471344,0.00471344,0.00471344
8,65.609,0.82487,1.31325,1.08072,1.4032,0.9316,0.8647,0.89731,0.59558,0.92305,0.85677,0.89151,0.53973,0.87995,1.87208,1.41173,1.41801,0.00355402,0.00355402,0.00355402
9,70.4588,0.76792,1.30796,0.99855,1.34472,0.93009,0.96825,0.96378,0.67337,0.90987,0.94444,0.95307,0.63816,0.74576,1.33958,0.89719,1.25722,0.00239459,0.00239459,0.00239459
10,75.2666,0.71762,1.22483,0.95915,1.29672,0.99184,0.96415,0.99105,0.72446,0.99184,0.96415,0.98965,0.71369,0.67376,1.13429,0.79798,1.20052,0.00123516,0.00123516,0.00123516
