epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7557,1.4752,2.8581,4.4947,2.34983,0.00119,0.34127,0.00082,0.00022,0.00083,0.2381,0.00055,0.00012,nan,nan,nan,nan,0.0717842,0.00336316,0.00336316
2,36.5311,1.39365,2.06166,2.51724,2.23347,0.00119,0.34127,0.00082,0.00022,0.00083,0.2381,0.00055,0.00012,nan,nan,nan,nan,0.0421087,0.00614374,0.00614374
3,41.3852,1.2312,1.84527,2.01191,1.9911,6e-05,0.01587,3e-05,1e-05,6e-05,0.01587,3e-05,1e-05,3.08081,4446.28,inf,123.948,0.0117478,0.00823908,0.00823908
4,46.0984,1.12888,1.69603,1.79065,1.89888,0.25456,0.18254,0.12693,0.05635,0.25917,0.21429,0.13606,0.05864,2.28044,275.45,3.9006,5.93469,0.00748302,0.00748302,0.00748302
5,50.9435,1.11929,1.78444,1.69868,1.90577,0.64965,0.69048,0.68785,0.35941,0.62724,0.66667,0.62461,0.28163,1.29606,4.64646,2.39844,2.1888,0.00642736,0.00642736,0.00642736
6,55.7515,0.97085,1.5835,1.45049,1.71707,0.76878,0.7381,0.8132,0.52435,0.76878,0.7381,0.81405,0.50599,0.94198,2.50993,2.36448,1.68342,0.0053717,0.0053717,0.0053717
7,60.5791,0.99242,1.52771,1.40049,1.70023,0.87864,0.91933,0.93588,0.62229,0.87358,0.92063,0.94122,0.60487,0.98468,2.44887,1.35029,1.58531,0.00431604,0.00431604,0.00431604
8,65.397,0.93242,1.4509,1.2723,1.64728,0.89742,0.9026,0.92671,0.59827,0.89742,0.9026,0.92608,0.61273,0.93163,1.57637,1.28804,1.57349,0.00326038,0.00326038,0.00326038
9,70.2259,0.88819,1.43459,1.1462,1.5884,0.93478,0.94444,0.96038,0.69857,0.93478,0.94444,0.96038,0.68196,0.78845,1.39384,1.00098,1.39402,0.00220472,0.00220472,0.00220472
10,75.0317,0.82994,1.37101,1.05501,1.50604,0.95236,0.96825,0.98473,0.75381,0.95236,0.96825,0.98473,0.7229,0.71199,1.26469,0.84492,1.31632,0.00114906,0.00114906,0.00114906
