epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7003,1.07985,2.10598,3.86424,1.74933,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0767077,0.00298511,0.00298511
2,36.5011,1.06481,1.70097,2.10783,1.71168,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0521681,0.00545273,0.00545273
3,41.4383,1.02387,1.62705,1.93955,1.65834,0.00208,0.45238,0.00147,0.00048,0.00173,0.37302,0.00124,0.0003,nan,nan,nan,nan,0.0270197,0.00731171,0.00731171
4,46.2693,0.94801,1.55095,1.75548,1.57302,0.32389,0.65775,0.37798,0.1442,0.31998,0.64981,0.3631,0.12706,1.18119,8.40346,11.9327,2.05964,0.0079796,0.0079796,0.0079796
5,51.0981,0.85371,1.405,1.4693,1.4832,0.36032,0.75397,0.49647,0.24469,0.33168,0.69048,0.44755,0.18394,1.07531,3.22126,13.1553,1.67013,0.00685281,0.00685281,0.00685281
6,55.9565,0.83769,1.32189,1.37173,1.42313,0.82887,0.8254,0.90239,0.56617,0.8209,0.81746,0.88952,0.54305,0.84444,1.56428,2.69963,1.4294,0.00572601,0.00572601,0.00572601
7,60.7726,0.8687,1.2782,1.29695,1.42749,0.90563,0.91399,0.94694,0.62642,0.91344,0.92133,0.95158,0.61795,0.77036,1.32839,2.24349,1.3175,0.00459921,0.00459921,0.00459921
8,65.5876,0.79006,1.23949,1.18885,1.36766,0.89994,0.93651,0.95191,0.68497,0.92561,0.89683,0.94872,0.65662,0.70699,1.18341,1.07395,1.22188,0.00347241,0.00347241,0.00347241
9,70.395,0.74273,1.18576,1.05887,1.3228,0.91269,0.93651,0.96816,0.69303,0.91269,0.93651,0.96767,0.67063,0.69313,1.14686,0.98233,1.158,0.00234561,0.00234561,0.00234561
10,75.2246,0.68826,1.12416,0.9588,1.25782,0.96874,0.98369,0.98693,0.73333,0.96874,0.98369,0.98693,0.72088,0.65804,1.02244,0.83084,1.12968,0.00121881,0.00121881,0.00121881
