epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7604,1.26412,2.46915,3.84866,2.12854,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0750707,0.00297767,0.00297767
2,36.8418,1.23023,1.85907,2.24829,2.07825,3e-05,0.00794,1e-05,0,3e-05,0.00794,1e-05,0,nan,nan,nan,nan,0.0488509,0.00544,0.00544
3,41.7412,1.16079,1.69895,1.88399,1.94014,0.00396,0.07143,0.00179,0.00041,0,0,0,0,nan,nan,nan,nan,0.0220248,0.00729608,0.00729608
4,46.5815,1.04865,1.56389,1.61295,1.78582,0.09333,0.05556,0.03785,0.01195,0.05333,0.03175,0.01083,0.00228,nan,nan,nan,nan,0.00749947,0.00749947,0.00749947
5,51.3916,0.97787,1.50406,1.46149,1.69612,0.54858,0.39683,0.43178,0.21348,0.55497,0.38095,0.38531,0.17365,1.30372,2.94256,5.05223,2.08244,0.00644263,0.00644263,0.00644263
6,56.2388,0.92681,1.44194,1.32495,1.63498,0.76925,0.89683,0.89694,0.59598,0.75868,0.87329,0.87381,0.58295,0.83021,1.71474,3.12695,1.49102,0.00538579,0.00538579,0.00538579
7,61.0277,0.93845,1.39928,1.26525,1.60842,0.91185,0.84127,0.93413,0.60929,0.91185,0.84127,0.9285,0.62124,0.8619,1.49025,1.1796,1.48691,0.00432895,0.00432895,0.00432895
8,65.8288,0.86375,1.34507,1.15103,1.54614,0.89788,0.90718,0.95362,0.61372,0.87238,0.9127,0.94927,0.63965,0.85059,1.31189,1.20063,1.47773,0.0032721,0.0032721,0.0032721
9,70.6193,0.81559,1.30683,1.10602,1.52324,0.91292,0.91523,0.97075,0.68606,0.91292,0.91523,0.97145,0.68181,0.74635,1.27542,1.00519,1.32785,0.00221526,0.00221526,0.00221526
10,75.4483,0.73934,1.22166,1.00194,1.40781,0.97593,0.97619,0.98727,0.7286,0.96006,0.96032,0.97112,0.69219,0.6826,1.29486,0.78706,1.27126,0.00115842,0.00115842,0.00115842
