epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7475,1.07959,2.2002,3.78717,1.72895,0.01016,0.07143,0.0034,0.00085,0.00107,0.03175,0.00025,3e-05,2.92949,411.135,308.555,38.8936,0.075712,0.00237867,0.00237867
2,36.7882,1.04968,1.63801,1.99681,1.66664,0.00297,0.50794,0.00228,0.00063,0.00117,0.20635,0.00073,0.00014,2.61066,3872.67,inf,51.2014,0.0502716,0.00434565,0.00434565
3,41.6864,0.98564,1.56928,1.70263,1.57139,0.00297,0.50794,0.00228,0.00063,0.00117,0.20635,0.00073,0.00014,3.06047,233.971,805.395,19.79,0.0243469,0.00582834,0.00582834
4,46.521,0.93799,1.44481,1.51343,1.51608,0.49516,0.66667,0.57886,0.2572,0.49473,0.66667,0.56723,0.21856,1.30265,2.61003,3.8937,2.17093,0.00626945,0.00626945,0.00626945
5,51.3486,0.90335,1.38705,1.48082,1.50419,0.16622,0.26984,0.17841,0.07848,0.15644,0.25397,0.15415,0.06986,1.46725,5.07511,12.649,2.20052,0.00538593,0.00538593,0.00538593
6,56.1662,0.8753,1.45233,1.44892,1.46962,0.78625,0.84127,0.88503,0.55266,0.78625,0.84127,0.88207,0.55211,0.84221,1.74807,4.60277,1.40018,0.00450241,0.00450241,0.00450241
7,60.9713,0.81325,1.29901,1.21862,1.37769,0.90493,0.8254,0.94345,0.65196,0.91363,0.83333,0.93734,0.53048,0.78017,1.84739,1.19283,1.26832,0.0036189,0.0036189,0.0036189
8,65.8059,0.77839,1.24071,1.12111,1.35482,0.93959,0.92857,0.95631,0.67575,0.93959,0.92857,0.95631,0.6516,0.71776,1.25733,1.01071,1.21761,0.00273538,0.00273538,0.00273538
9,70.6086,0.71919,1.1495,1.01364,1.30017,0.91749,0.97083,0.97599,0.71691,0.91749,0.97083,0.97893,0.70953,0.63082,1.0929,0.9432,1.15426,0.00185186,0.00185186,0.00185186
10,75.4218,0.66776,1.12409,0.94659,1.2362,0.96714,0.96825,0.98874,0.76163,0.96714,0.96825,0.99027,0.74197,0.58534,1.06799,0.76963,1.11082,0.000968346,0.000968346,0.000968346
