epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8258,1.11211,2.23742,3.54883,1.82689,0.00076,0.01587,0.00029,5e-05,0.00041,0.02381,7e-05,1e-05,3.46177,572.8,459.804,90.8698,0.0755691,0.00284182,0.00284182
2,36.8675,1.17553,1.82302,2.21078,1.91976,0.00241,0.28571,0.00141,0.00027,0.00051,0.04762,0.00021,4e-05,2.80932,117.849,295.03,18.1183,0.0498886,0.00519159,0.00519159
3,41.7635,1.02786,1.70485,1.69295,1.68946,0.02102,0.26984,0.01329,0.00423,0.02164,0.27778,0.01127,0.0036,2.17386,4.19437,31.5714,12.484,0.0236292,0.00696256,0.00696256
4,46.6014,0.96762,1.49899,1.45014,1.6228,0.00057,0.07937,0.00031,9e-05,0.0004,0.05556,0.00021,7e-05,2.93994,6.41937,213.289,4.7459,0.0073226,0.0073226,0.0073226
5,51.4092,0.91192,1.51941,1.36648,1.56778,0.72049,0.27778,0.32637,0.14886,0.637,0.31746,0.3797,0.18793,1.78458,2.59947,2.79115,3.34747,0.00629014,0.00629014,0.00629014
6,56.2177,0.84684,1.45725,1.24307,1.48469,0.76733,0.68254,0.7465,0.43124,0.77555,0.69048,0.7366,0.38605,1.08207,2.24768,1.77658,1.81041,0.00525767,0.00525767,0.00525767
7,61.0338,0.84613,1.36855,1.18374,1.47604,0.84279,0.78571,0.86069,0.52905,0.84955,0.8067,0.88448,0.55291,0.92751,1.43032,2.05442,1.5688,0.00422521,0.00422521,0.00422521
8,65.8697,0.77244,1.28805,1.05791,1.40436,0.87397,0.86508,0.9187,0.62353,0.9006,0.88889,0.94135,0.64131,0.80102,1.49076,1.34833,1.37349,0.00319274,0.00319274,0.00319274
9,70.6696,0.79953,1.31939,0.97228,1.4208,0.93747,0.95238,0.98101,0.7053,0.93747,0.95238,0.97997,0.68681,0.70532,1.18649,0.88319,1.26723,0.00216027,0.00216027,0.00216027
10,75.4752,0.70152,1.21152,0.91768,1.31849,0.97525,0.93802,0.98661,0.74898,0.97525,0.93802,0.98661,0.71888,0.63682,1.1549,0.75336,1.2037,0.00112781,0.00112781,0.00112781
