epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5696,1.47639,2.8822,4.89682,2.42089,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0755975,0.00328985,0.00328985
2,37.5479,1.59442,2.14261,3.34433,2.73093,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0498566,0.00601045,0.00601045
3,42.4984,1.48699,1.95834,2.72374,2.56937,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.023446,0.00806137,0.00806137
4,47.5171,1.41582,2.0828,2.90193,2.53365,0.0875,0.11111,0.03814,0.01509,0.09506,0.07937,0.0335,0.01563,2.46008,16.6388,5.7445,32.3785,0.00835061,0.00835061,0.00835061
5,52.5281,1.35114,1.93443,2.48887,2.44618,0.441,0.19841,0.23442,0.10227,0.43489,0.19048,0.20946,0.0969,1.65932,5.66248,4.09647,3.33056,0.00717414,0.00717414,0.00717414
6,57.5719,1.2616,1.71244,2.06483,2.31948,0.38222,0.28571,0.28988,0.14241,0.38596,0.27938,0.28142,0.11322,1.42201,3.49848,11.0369,2.6674,0.00599768,0.00599768,0.00599768
7,62.616,1.21217,1.62734,1.94894,2.24175,0.50418,0.41966,0.46982,0.24046,0.46425,0.40476,0.45273,0.23403,1.18494,2.35897,6.78228,2.27466,0.00482121,0.00482121,0.00482121
8,67.6772,1.14935,1.55125,1.7915,2.14609,0.80628,0.72672,0.85838,0.48369,0.81054,0.69048,0.8437,0.49781,1.10747,1.7149,2.48426,2.07324,0.00364475,0.00364475,0.00364475
9,72.698,1.14869,1.56559,1.7944,2.15826,0.80843,0.80952,0.87425,0.49002,0.77529,0.87625,0.89058,0.56396,1.13244,1.5324,1.62697,2.15173,0.00246828,0.00246828,0.00246828
10,77.7131,1.08664,1.51659,1.65389,2.07092,0.88132,0.8254,0.91089,0.56684,0.88132,0.8254,0.906,0.61295,0.96394,1.3616,1.4229,1.92491,0.00129182,0.00129182,0.00129182
