epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7169,1.23214,2.63599,3.72755,1.72593,0.00377,0.03968,0.00176,0.00056,0.00151,0.01587,0.00045,9e-05,nan,nan,nan,nan,0.0754898,0.00297069,0.00297069
2,36.5529,1.25333,1.72851,2.26282,1.7319,0.00377,0.03968,0.00176,0.00056,0.00151,0.01587,0.00045,9e-05,nan,nan,nan,nan,0.049702,0.00542715,0.00542715
3,41.4585,1.1748,1.70478,1.83258,1.62548,0.0005,0.13492,0.00029,9e-05,0,0,0,0,3.01549,622.166,140.507,54.6499,0.0233092,0.00727871,0.00727871
4,46.3216,1.04493,1.49728,1.61296,1.483,0.09211,0.55556,0.07515,0.03035,0.07895,0.47619,0.06071,0.01807,1.34523,15.4804,86.637,1.90493,0.00759742,0.00759742,0.00759742
5,51.1446,0.96421,1.44131,1.40769,1.40533,0.1597,0.69048,0.27836,0.13466,0.14134,0.61111,0.23936,0.08088,1.19705,10.5282,20.428,1.70972,0.00652656,0.00652656,0.00652656
6,55.9509,0.96064,1.44331,1.34033,1.3881,0.25498,0.30952,0.22705,0.07227,0.24894,0.36508,0.22946,0.08258,1.55423,3.15592,4.65111,2.11344,0.0054557,0.0054557,0.0054557
7,60.753,0.9014,1.37254,1.22867,1.31118,0.68205,0.53175,0.62917,0.3503,0.63786,0.57937,0.63252,0.34682,1.11136,1.8241,2.05183,1.48826,0.00438484,0.00438484,0.00438484
8,65.6314,0.86057,1.29732,1.11239,1.2738,0.8672,0.88095,0.93456,0.60631,0.87501,0.88889,0.934,0.58949,0.89729,1.37169,1.17171,1.23872,0.00331398,0.00331398,0.00331398
9,70.4578,0.78688,1.21504,0.9921,1.1993,0.94538,0.96156,0.98146,0.70627,0.94538,0.96156,0.97882,0.7096,0.72866,1.16118,0.91241,1.10782,0.00224312,0.00224312,0.00224312
10,75.26,0.73117,1.15476,0.9203,1.15865,0.98505,0.96825,0.98581,0.7291,0.98505,0.96825,0.98319,0.73512,0.67675,1.09701,0.80492,1.05525,0.00117226,0.00117226,0.00117226
