epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9909,1.75362,3.33852,4.30089,2.40465,0.0014,0.2381,0.00087,0.00023,0.00051,0.0873,0.00027,5e-05,4.56366,9488.08,inf,441.383,0.0767077,0.00298511,0.00298511
2,37.0429,1.70064,2.56955,2.48647,2.42279,0.00334,0.13492,0.00156,0.00039,0.00295,0.11905,0.00115,0.00025,nan,nan,nan,nan,0.0521673,0.00545197,0.00545197
3,41.9668,1.4922,2.22024,1.93043,2.12644,0.00044,0.01587,0.00014,3e-05,0.00022,0.00794,3e-05,1e-05,nan,nan,nan,nan,0.0270175,0.00730943,0.00730943
4,46.7849,1.42864,2.14293,1.69905,2.04565,0.00396,0.23016,0.00235,0.00101,0.00386,0.21429,0.00212,0.00074,2.49061,25.3252,177.169,5.66108,0.00797534,0.00797534,0.00797534
5,51.6027,1.43762,2.13814,1.64945,2.02878,0.00418,0.01587,0.00089,0.00024,0.00364,0.00794,6e-05,1e-05,3.5043,28.2834,13.7897,6.18943,0.00684713,0.00684713,0.00684713
6,56.4335,1.36015,2.0616,1.66829,1.97755,0.78685,0.76984,0.81283,0.48754,0.77063,0.75397,0.76674,0.40136,1.40627,5.38689,3.18428,1.98168,0.00571891,0.00571891,0.00571891
7,61.2423,1.24922,1.89464,1.40463,1.83021,0.84089,0.85714,0.89467,0.55217,0.84089,0.85714,0.89467,0.57413,1.29031,1.93506,1.61914,1.81353,0.00459069,0.00459069,0.00459069
8,66.0411,1.19421,1.83008,1.26793,1.79029,0.82255,0.84618,0.85825,0.54017,0.82255,0.84618,0.855,0.52244,1.24901,2.25798,1.80372,1.77001,0.00346247,0.00346247,0.00346247
9,70.8531,1.13998,1.77579,1.18878,1.73561,0.95824,0.94444,0.96758,0.70194,0.95824,0.94444,0.96758,0.69445,0.9834,1.58756,1.17549,1.52509,0.00233425,0.00233425,0.00233425
10,75.6879,1.0367,1.66617,1.11457,1.65493,0.92821,0.95238,0.98508,0.69787,0.92821,0.95238,0.98508,0.70725,1.01747,1.5443,0.98713,1.52208,0.00120603,0.00120603,0.00120603
