epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6186,1.04204,2.1205,2.72868,1.77159,0.00143,0.1746,0.00176,0.00036,0,0,0,0,2.6009,nan,inf,194.395,0.076285,0.00275559,0.00275559
2,36.6275,1.0558,1.63925,1.46252,1.72358,0.00194,0.07937,0.00084,0.00018,0.00264,0.0873,0.00086,0.00027,nan,nan,nan,nan,0.051358,0.00503446,0.00503446
3,41.5899,0.97762,1.53509,1.24742,1.59611,0.00828,0.46032,0.00918,0.00175,0.00756,0.42063,0.00552,0.00118,2.19942,514.395,inf,13.9984,0.0258702,0.0067525,0.0067525
4,46.4122,0.85372,1.34431,1.0471,1.45569,0.15887,0.28571,0.15127,0.06394,0.15446,0.27778,0.14085,0.06586,1.80196,21.0742,11.659,4.29588,0.00731782,0.00731782,0.00731782
5,51.2309,0.86103,1.34481,0.99928,1.44594,0.23286,0.13492,0.12874,0.05789,0.26749,0.06349,0.04767,0.02506,1.84544,4.80567,4.26731,3.10026,0.0062871,0.0062871,0.0062871
6,56.0533,0.82852,1.25411,0.96122,1.39888,0.41052,0.33718,0.31999,0.16967,0.3329,0.2381,0.19238,0.08795,1.3667,3.5939,3.01107,2.36485,0.00525637,0.00525637,0.00525637
7,60.8634,0.79473,1.30427,0.90527,1.36718,0.81403,0.90322,0.91256,0.60809,0.8224,0.92063,0.93061,0.63657,0.79434,1.14886,0.90383,1.33382,0.00422565,0.00422565,0.00422565
8,65.6736,0.74255,1.1535,0.78636,1.32468,0.94282,0.91604,0.97298,0.69214,0.94282,0.91604,0.97298,0.68257,0.67415,1.32557,0.78545,1.18267,0.00319492,0.00319492,0.00319492
9,70.4782,0.70142,1.15908,0.73864,1.28349,0.87769,0.92063,0.95054,0.6307,0.87769,0.92063,0.94451,0.61864,0.76963,1.2545,0.88536,1.27333,0.0021642,0.0021642,0.0021642
10,75.3145,0.68699,1.11562,0.71283,1.2551,0.95925,0.96825,0.98505,0.71805,0.95925,0.96825,0.98322,0.70762,0.67139,1.11506,0.63258,1.18837,0.00113347,0.00113347,0.00113347
