epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9118,0.98696,1.99906,3.67617,1.66686,0.00081,0.15873,0.0005,0.00015,0.00089,0.1746,0.00057,0.00016,2.59712,1614.07,5.82338,33.5453,0.0753305,0.0023982,0.0023982
2,36.8101,1.01521,1.54383,1.92772,1.65275,0.00081,0.15873,0.0005,0.00015,0.00089,0.1746,0.00057,0.00016,nan,nan,nan,nan,0.0494941,0.00438135,0.00438135
3,41.6472,0.94601,1.48452,1.76189,1.54595,0.09937,0.01587,0.00912,0.00202,0.0168,0.00794,0.00045,9e-05,2.18204,297.117,8.37597,9.98378,0.0231695,0.00587624,0.00587624
4,46.4523,0.85378,1.34096,1.50337,1.46526,0.55335,0.43265,0.42494,0.24288,0.50364,0.33825,0.31665,0.14735,1.19474,7.03196,3.46014,1.99353,0.00622736,0.00622736,0.00622736
5,51.3014,0.82511,1.33483,1.42327,1.44805,0.65873,0.62698,0.67988,0.41544,0.44809,0.40476,0.3275,0.11829,0.90497,4.36158,5.60552,1.59144,0.00534981,0.00534981,0.00534981
6,56.6356,0.7791,1.31101,1.31458,1.38632,0.69111,0.70635,0.74625,0.46609,0.70334,0.72222,0.74692,0.46719,0.8316,1.51091,1.93171,1.43222,0.00447226,0.00447226,0.00447226
7,62.1205,0.75336,1.21548,1.16482,1.31745,0.92401,0.86853,0.92932,0.60593,0.92401,0.86853,0.89818,0.5678,0.74143,1.58421,1.21378,1.26405,0.00359471,0.00359471,0.00359471
8,67.1614,0.69616,1.1458,1.05754,1.28304,0.91842,0.92063,0.96389,0.69836,0.91842,0.92063,0.95211,0.63536,0.67963,1.30182,1.03774,1.20828,0.00271717,0.00271717,0.00271717
9,72.2326,0.67325,1.10948,0.98291,1.27531,0.91676,0.97619,0.98145,0.72248,0.91676,0.97619,0.98449,0.68735,0.648,1.14919,0.93602,1.15607,0.00183962,0.00183962,0.00183962
10,77.5874,0.61764,1.08044,0.92116,1.20339,0.95331,0.95238,0.97768,0.74592,0.96125,0.96032,0.98585,0.72172,0.59891,0.99339,0.78164,1.12244,0.000962072,0.000962072,0.000962072
