epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8088,1.18309,2.66394,3.77528,1.81331,0,0,0,0,0,0,0,0,3.41971,839.49,9.06718,64.8571,0.0767077,0.00298511,0.00298511
2,37.7975,1.20264,1.79234,2.11626,1.7534,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.052168,0.00545267,0.00545267
3,42.8679,1.1066,1.75654,1.89305,1.65604,0,0,0,0,0,0,0,0,4.582,5370.53,inf,552.094,0.0270196,0.00731153,0.00731153
4,47.852,1.00355,1.57153,1.5765,1.52758,0.00013,0.01587,6e-05,3e-05,0.00013,0.01587,3e-05,2e-05,3.52043,313.523,2902.22,88.9628,0.00797926,0.00797926,0.00797926
5,52.8186,0.96065,1.53639,1.45962,1.48254,0.00546,0.11905,0.00422,0.00163,0.00404,0.0873,0.0024,0.00065,2.04897,9.07772,131.737,5.69067,0.00685235,0.00685235,0.00685235
6,57.839,0.91473,1.47811,1.34368,1.42986,0.64151,0.73852,0.74034,0.45606,0.67399,0.69841,0.72455,0.46214,0.884,2.16287,8.00248,1.35209,0.00572544,0.00572544,0.00572544
7,62.8248,0.86424,1.37775,1.30709,1.38838,0.714,0.78571,0.7842,0.39519,0.70269,0.76984,0.77498,0.41998,1.04587,1.662,1.95321,1.4982,0.00459853,0.00459853,0.00459853
8,67.8,0.79708,1.28012,1.10974,1.31633,0.91605,0.95262,0.97182,0.67192,0.91605,0.95262,0.9712,0.67324,0.77419,1.28629,1.08184,1.21958,0.00347162,0.00347162,0.00347162
9,72.7871,0.78629,1.2466,1.00506,1.31354,0.89775,0.97559,0.97857,0.69481,0.88304,0.96032,0.95975,0.67411,0.70097,1.32747,0.99014,1.16678,0.0023447,0.0023447,0.0023447
10,77.7925,0.72646,1.20244,0.97232,1.26071,0.93042,0.97619,0.98476,0.74503,0.93042,0.97619,0.98476,0.72862,0.66714,1.08006,0.85673,1.12228,0.00121779,0.00121779,0.00121779
